Roll_No,student_name,Tamil,English,Maths,Science,Social,parent_email,attendance_Percentage
1,Aarav,54,84,54,60,100,nkumar861019@gmail.com,69.19
2,Diya,54,49,85,51,83,mkumar861019@gmail.com,75.12
3,Karthik,71,77,80,37,82,nkumar861019@gmail.com,96.19
4,Meena,44,86,68,100,72,mkumar861019@gmail.com,62.35
5,Ravi,38,63,43,93,45,nkumar861019@gmail.com,96.39
6,Lakshmi,47,95,53,38,71,mkumar861019@gmail.com,98.6
7,Vikram,58,96,69,65,50,nkumar861019@gmail.com,62.82
8,Priya,55,91,98,72,66,mkumar861019@gmail.com,61.81
9,Rahul,67,65,71,92,71,nkumar861019@gmail.com,96.96
10,Sneha,66,50,62,95,51,mkumar861019@gmail.com,68.74
